Entry_Time(JST),Exit_Time(JST),Symbol,PnL_USD,PnL_Percent,Win_Loss,Side,Leverage,Entry_Price,Exit_Price,Quantity
2026-06-09 05:06:32,2026-06-13 02:13:23,xyz:SPCX,-12.6854,-8.255775877113436,loss,SHORT,,158.16246164487373,171.22,1.0
2026-06-09 05:06:32,2026-06-13 02:13:25,xyz:SPCX,-12.7354,-8.287388940971962,loss,SHORT,,158.16246164487373,171.27,1.0
2026-06-09 05:06:32,2026-06-13 02:13:32,xyz:SPCX,-13.1954,-8.578229128470326,loss,SHORT,,158.16246164487373,171.73,1.0
2026-06-09 05:06:32,2026-06-13 02:13:33,xyz:SPCX,-13.2254,-8.597196966785425,loss,SHORT,,158.16246164487373,171.76,1.0
2026-06-09 05:06:32,2026-06-13 02:13:35,xyz:SPCX,-13.1054,-8.521325613525011,loss,SHORT,,158.1624616448737,171.64,1.0
2026-06-09 05:06:32,2026-06-13 02:13:41,xyz:SPCX,-12.9754,-8.439131647492859,loss,SHORT,,158.1624616448737,171.51,1.0
2026-06-09 05:06:32,2026-06-13 02:13:43,xyz:SPCX,-12.8654,-8.369582907004114,loss,SHORT,,158.1624616448737,171.4,1.0
2026-06-09 05:06:32,2026-06-13 02:14:10,xyz:SPCX,-2.660988,-7.88274172358292,loss,SHORT,,158.1624616448737,170.63,0.22
2026-06-09 05:06:32,2026-06-13 02:14:13,xyz:SPCX,-12.0554,-7.857451272496108,loss,SHORT,,158.1624616448737,170.59,1.0
2026-06-09 05:06:32,2026-06-13 02:14:16,xyz:SPCX,-12.3154,-8.021839204560411,loss,SHORT,,158.1624616448737,170.85,1.0
2026-06-09 05:06:32,2026-06-13 02:14:20,xyz:SPCX,-11.9654,-7.800547757550769,loss,SHORT,,158.1624616448737,170.5,1.0
2026-06-09 05:06:32,2026-06-13 02:14:30,xyz:SPCX,-11.9954,-7.819515595865889,loss,SHORT,,158.1624616448737,170.53,1.0
2026-06-09 05:06:32,2026-06-13 02:14:32,xyz:SPCX,-11.9854,-7.813192983094197,loss,SHORT,,158.1624616448737,170.52,1.0
2026-06-09 05:06:32,2026-06-13 02:14:33,xyz:SPCX,-6.175208,-7.74364424260543,loss,SHORT,,158.1624616448737,170.41,0.52
2026-06-09 05:06:32,2026-06-13 02:14:33,xyz:SPCX,-5.700192,-7.743644242605452,loss,SHORT,,158.16246164487367,170.41,0.48
2026-06-09 05:06:32,2026-06-13 02:14:34,xyz:SPCX,-11.7154,-7.64248243825818,loss,SHORT,,158.1624616448737,170.25,1.0
2026-06-09 05:06:32,2026-06-13 02:14:36,xyz:SPCX,-11.4254,-7.459126667878779,loss,SHORT,,158.1624616448737,169.96,1.0
2026-06-09 05:06:32,2026-06-13 02:14:37,xyz:SPCX,-11.3854,-7.433836216791967,loss,SHORT,,158.16246164487367,169.92,1.0
2026-06-09 05:06:32,2026-06-13 02:14:40,xyz:SPCX,-11.0654,-7.231512608097446,loss,SHORT,,158.16246164487367,169.6,1.0
2026-06-09 05:06:32,2026-06-13 02:14:44,xyz:SPCX,-11.1354,-7.275770897499356,loss,SHORT,,158.16246164487367,169.67,1.0
2026-06-09 05:06:32,2026-06-13 02:14:57,xyz:SPCX,-13.2654,-8.622487417872303,loss,SHORT,,158.16246164487367,171.8,1.0
2026-06-09 05:06:32,2026-06-13 02:15:02,xyz:SPCX,-1.837556,-8.533970839068438,loss,SHORT,,158.16246164487367,171.66,0.14
2026-06-09 05:06:32,2026-06-13 02:15:03,xyz:SPCX,-11.287844,-8.533970839068438,loss,SHORT,,158.16246164487367,171.66,0.86
2026-06-09 05:06:32,2026-06-13 02:15:03,xyz:SPCX,-13.2654,-8.622487417872303,loss,SHORT,,158.16246164487367,171.8,1.0
2026-06-09 05:06:32,2026-06-13 02:15:11,xyz:SPCX,-13.5654,-8.812165801023397,loss,SHORT,,158.16246164487367,172.1,1.0
2026-06-09 05:06:32,2026-06-13 02:15:17,xyz:SPCX,-13.8054,-8.963908507544316,loss,SHORT,,158.16246164487367,172.34,1.0
2026-06-09 05:06:32,2026-06-13 02:15:24,xyz:SPCX,-14.1654,-9.191522567325627,loss,SHORT,,158.16246164487367,172.7,1.0
2026-06-09 05:06:32,2026-06-13 02:15:25,xyz:SPCX,-14.1754,-9.197845180097364,loss,SHORT,,158.16246164487364,172.71,1.0
2026-06-09 05:06:32,2026-06-13 02:15:33,xyz:SPCX,-14.5154,-9.412814014335314,loss,SHORT,,158.16246164487364,173.05,1.0
2026-06-09 05:06:32,2026-06-13 02:15:34,xyz:SPCX,-14.5654,-9.444427078193819,loss,SHORT,,158.16246164487364,173.1,1.0
2026-06-09 05:06:32,2026-06-13 02:15:37,xyz:SPCX,-14.5754,-9.450749690965532,loss,SHORT,,158.16246164487364,173.11,1.0
2026-06-09 05:06:32,2026-06-13 02:15:42,xyz:SPCX,-7.919316,-9.507653205910849,loss,SHORT,,158.16246164487364,173.2,0.54
2026-06-09 05:06:32,2026-06-13 02:15:47,xyz:SPCX,-14.8554,-9.627782848573219,loss,SHORT,,158.16246164487364,173.39,1.0
2026-06-09 05:06:32,2026-06-13 02:15:50,xyz:SPCX,-14.9654,-9.697331589061964,loss,SHORT,,158.16246164487364,173.5,1.0
2026-06-09 05:06:32,2026-06-13 02:15:52,xyz:SPCX,-14.8454,-9.621460235801527,loss,SHORT,,158.16246164487364,173.38,1.0
2026-06-09 05:06:32,2026-06-13 02:16:00,xyz:SPCX,-14.4754,-9.3875235632485,loss,SHORT,,158.16246164487362,173.01,1.0
