Entry_Time(JST),Exit_Time(JST),Symbol,PnL_USD,PnL_Percent,Win_Loss,Side,Leverage,Entry_Price,Exit_Price,Quantity
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-85.11174,0.6474779461660418,loss,SHORT,,58.94666666666667,58.565,4.65
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-7.138404,0.6474779461660418,loss,SHORT,,58.94666666666667,58.565,0.39
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-9.1518,0.6474779461660418,loss,SHORT,,58.94666666666667,58.565,0.5
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-13.7277,0.6474779461660418,loss,SHORT,,58.94666666666667,58.565,0.75
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-18.852708,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,1.03
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-24.343788,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,1.33
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-54.361692,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,2.97
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-68.821536,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,3.76
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-87.308172,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,4.77
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-93.165324,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,5.09
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-99.75462,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,5.45
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-274.554,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,15.0
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-300.17904,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,16.4
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-425.5587,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,23.25
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-466.558764,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,25.49
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-588.826812,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,32.17
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-1520.11398,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,83.05
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-1678.989228,0.6474779461660307,loss,SHORT,,58.946666666666665,58.565,91.73
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-1830.36,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,100.0
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-1830.36,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,100.0
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-1853.605572,0.6474779461660085,loss,SHORT,,58.94666666666665,58.565,101.27
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-3746.014776,0.6474779461660196,loss,SHORT,,58.94666666666666,58.565,204.66
2026-05-21 15:22:56,2026-05-22 03:46:07,HYPE,-3226.741644,0.6474779461660085,loss,SHORT,,58.94666666666665,58.565,176.29
2026-05-21 15:22:56,2026-05-22 04:08:31,HYPE,-9810.124884,1.0885546256502843,loss,SHORT,,58.94666666666665,58.305,543.69
2026-05-21 15:22:56,2026-05-22 04:08:32,HYPE,-1065.294144,1.0885546256502732,loss,SHORT,,58.946666666666644,58.305,59.04
2026-05-21 15:22:56,2026-05-22 04:08:33,HYPE,-7168.180972,1.0885546256502732,loss,SHORT,,58.946666666666644,58.305,397.27
2026-05-21 15:22:56,2026-05-22 04:11:09,HYPE,-17823.6,1.461773354444662,loss,SHORT,,58.946666666666644,58.085,1000.0
2026-05-21 15:22:56,2026-05-22 05:51:34,HYPE,-3735.308968,4.228681293824876,loss,SHORT,,58.94666666666664,56.454,230.68
2026-05-21 15:22:56,2026-05-22 05:51:34,HYPE,-4.695854,4.228681293824865,loss,SHORT,,58.94666666666663,56.454,0.29
2026-05-21 15:22:56,2026-05-22 05:51:35,HYPE,-1030.820916,4.228681293824865,loss,SHORT,,58.94666666666663,56.454,63.66
2026-05-21 15:22:56,2026-05-22 05:51:35,HYPE,-3238.52,4.228681293824865,loss,SHORT,,58.94666666666663,56.454,200.0
2026-05-21 15:22:56,2026-05-22 05:51:35,HYPE,-8061.000132,4.228681293824865,loss,SHORT,,58.94666666666663,56.454,497.82
2026-05-21 15:22:56,2026-05-22 05:51:35,HYPE,-122.25413,4.228681293824865,loss,SHORT,,58.94666666666663,56.454,7.55
2026-05-21 15:22:56,2026-05-22 05:51:38,HYPE,-15930.6,4.673150870843646,loss,SHORT,,58.94666666666663,56.192,1000.0
2026-05-21 15:22:56,2026-05-23 04:30:25,HYPE,-5143.15008,6.491743949332673,loss,SHORT,,58.94666666666663,55.12,435.2
